FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
3114,1401,1145,DTW,ORD
1071,1210,1020,PDX,SJC
589,2155,1810,DCA,DAL
469,619,120,CLT,DEN
5413,1725,1632,ORD,MKE
42,2155,1450,SFO,OGG
1263,657,2230,BOS,SFO
1072,2331,2151,PIT,ATL
1430,1614,1506,MSN,ATL
339,2359,2106,LAX,FLL
3141,1805,1600,MSY,BWI
5036,2011,1930,CSG,ATL
4484,1642,1535,SLC,BOI
3184,1020,845,STL,MCO
4391,1847,1744,CRP,IAH
1260,1644,1029,SJU,IAH
567,2214,1950,PDX,LAX
1231,1646,1434,DTW,LGA
4203,1654,1508,IAH,PNS
1904,702,535,CLT,DCA
4199,1624,1430,CLE,LGA
66,1455,1151,JFK,SJU
2015,1714,1555,CMH,CLT
288,1815,1432,MCO,ORD
1600,2220,1938,IND,MSP
1450,547,45,MSP,LAS
1679,1525,1420,STL,MDW
2500,1210,1045,MDW,OMA
3320,848,800,LAW,DFW
3851,955,800,SEA,SMF
1534,1642,1405,BDL,TPA
2513,740,545,BWI,MHT
2145,1216,1100,LGA,BOS
6377,832,720,DEN,CPR
1929,1343,1205,CLT,IND
2875,1810,1525,ATL,BDL
483,955,730,ABQ,LAS
469,1105,1005,LAS,DFW
5019,854,700,RIC,BOS
2488,1537,1130,EWR,DFW
570,1518,1212,BOS,FLL
319,800,615,ATL,MCO
859,2310,2055,PIT,MCO
7369,1125,1015,DTW,APN
3435,2159,1850,HPN,ORD
1049,1340,1045,TPA,HOU
449,2021,1520,IAH,SAN
1834,1636,1515,PHL,DCA
4909,2225,2110,SMF,BUR
2659,2255,2005,JFK,FLL
526,1353,1120,JFK,TPA
3045,1352,1155,TUL,ORD
1946,1156,1005,BWI,ATL
885,745,600,MDW,MEM
3112,1720,1559,DFW,CRP
311,2325,2110,TUS,LAX
892,2358,1620,SAN,HNL
4516,2216,2105,HRL,IAH
889,2355,1805,BOS,DEN
2708,1623,1415,PHX,PSP
270,925,800,BNA,MSY
1046,1308,1000,FLL,EWR
349,1350,1335,LAS,SLC
1839,1700,1500,ATL,DCA
3040,850,725,DFW,GCK
3498,1916,1735,ORD,OMA
2084,935,708,JFK,MCO
2331,1225,1100,DAL,MSY
626,2349,1915,DTW,DEN
469,1336,1000,SFO,JFK
5363,1743,1623,ONT,SFO
6287,1851,1741,SFO,SBA
14,2351,1555,EWR,SEA
3515,1100,850,DTW,MDW
452,901,846,SAN,PHX
3325,1431,1245,GRR,ORD
1125,1515,1315,ATL,IAD
2602,1039,912,BUF,JFK
1583,1118,850,DTW,BOS
1642,701,2335,TPA,LAX
1800,1900,1540,MDW,DEN
2497,835,725,SJC,BUR
1687,2121,1720,FLL,ORD
2141,1021,900,LGA,BOS
6212,2052,1930,ACV,SFO
3404,1145,1055,DFW,TYR
2607,852,728,SMF,LAX
2246,1050,845,ATL,DTW
6,2055,1305,DCA,LAX
6294,1915,1759,SFO,MFR
163,1055,950,BUR,OAK
1079,1605,1510,BNA,BWI
827,915,805,OAK,BUR
2081,1129,805,MIA,LGA
7394,1222,1120,SGU,SLC
19,1420,1100,LAX,JFK
7397,2212,2110,SGU,SLC
711,2154,1859,LAS,JFK
955,827,620,MIA,RDU
1453,1226,707,MSP,SEA
2218,2200,2100,OAK,PHX
4512,1030,800,MCO,BWI
2268,2222,1845,FLL,DFW
2939,1420,1233,DFW,FWA
2029,1921,1635,SFO,CLT
2374,1430,1200,MSP,MCO
1064,1420,1405,SNA,PHX
322,1335,1125,SEA,SFO
1988,1245,1040,PHX,LAS
906,2237,1905,DTW,IAH
3156,1303,1205,DFW,SJT
870,1845,1325,HNL,ANC
5533,910,720,DTW,GSO
5219,822,625,ATL,PHF
477,730,600,SAN,SMF
1459,1938,1545,DCA,IAH
556,2000,1830,OAK,SAN
1027,1300,925,DFW,BOS
422,441,2359,ATL,DEN
1674,803,35,MIA,LAS
6325,1712,1543,SMF,LAX
2016,1224,935,IAH,PHL
4211,1820,1455,MCO,MHT
718,940,835,SAN,SLC
5507,1933,1848,ASE,DEN
2695,1125,955,RNO,SAN
1213,2007,1951,PNS,ATL
1294,2020,1655,MIA,IAH
320,807,605,SFO,SEA
694,2242,2140,GEG,SEA
744,1214,955,CLT,MIA
5201,1006,810,ASE,ORD
1521,1208,925,LAS,MIA
3211,725,600,BWI,CLE
1793,1505,1040,ICT,LAS
5420,1651,1612,MLU,ATL
4977,936,759,BNA,LGA
1578,1254,1117,SMF,DEN
2714,1715,1510,PHX,PSP
479,950,822,LAX,SFO
292,1950,1235,ATL,LAX
357,1530,1230,SEA,IAD
482,1817,1456,TPA,JFK
385,1040,825,DFW,BNA
19,1205,1100,HOU,DAL
534,459,2145,LAX,HNL
4581,909,805,GEG,SEA
72,1924,1555,DEN,SFO
4747,754,715,IAH,CLL
1288,1915,1421,DFW,SAN
172,1532,1458,HNL,LIH
1483,1905,1610,LGA,MIA
759,1615,1355,SLC,LAS
804,1900,1735,MCI,MDW
578,1728,1610,DEN,SLC
6023,1533,1315,CMH,ORD
3943,1530,1335,BOI,DEN
4542,1326,1200,IAH,MAF
2370,2356,2125,IAD,MIA
1977,1124,940,IND,CLT
1596,1940,1450,DFW,SNA
3274,1123,1035,CMI,ORD
713,940,750,SFO,DAL
1665,1938,1805,SRQ,ATL
1169,1930,1324,ORD,LAX
7429,1158,1107,PIH,SLC
5634,1749,1650,RNO,SFO
913,1605,1425,LAX,MCI
6459,2111,1913,GRR,ORD
1699,2220,1930,DCA,MDW
2669,919,800,LGA,BOS
853,1805,1625,BUF,CLT
1811,1850,1720,OAK,LAS
1687,1816,1230,MSP,SAN
2048,1735,1620,CLT,ATL
2618,1820,1715,LAX,ELP
223,1259,940,LAX,JFK
5538,1820,1730,MSP,RST
1041,1416,1105,CLT,DFW
5493,1839,1510,RDU,MSP
3055,1700,1447,DFW,HSV
3659,1350,1040,TPA,STL
1887,1235,1035,ICT,MDW
1828,937,835,SAV,ATL
4121,1500,1119,EWR,MEM
21,2210,1930,SEA,ORD
5383,2154,2107,SBA,LAX
4654,1655,1340,RSW,GRR
5560,1635,1510,PSP,DEN
2230,1825,1618,LAX,ATL
1704,1210,930,BWI,BNA
4739,740,618,LAX,SJC
1764,1849,1540,CLT,MCI
173,1430,1351,LIH,HNL
3254,2050,1745,LGA,BNA
1180,1924,1300,SJU,DFW
2807,2040,1335,DTW,LAS
5189,1305,1203,SFO,FAT
1634,859,600,SLC,SEA
775,1026,800,ATL,MSY
1028,924,555,ORD,DEN
5494,1414,1128,ATL,MLI
5185,1045,814,MCI,LGA
3406,715,600,SJC,ONT
2467,1331,1146,ATL,DAY
745,446,2359,PSE,JFK
2160,1740,1450,PHX,SFO
182,2059,1830,LBE,RSW
2148,1407,1300,BOS,LGA
5570,2018,1801,ORD,DFW
2126,1031,824,ATL,PIT
3506,2010,1835,MCI,MDW
6075,1210,1110,GJT,DEN
4670,1021,906,ORD,CLT
762,2059,1759,ATL,MDW
5543,1140,1041,SFO,BOI
2025,1258,1100,ATL,BWI
6622,2351,2240,DRO,PHX
5315,1524,1426,DEN,DVL
547,1725,1350,TPA,MDW
932,1650,1530,LAX,SFO
6466,953,700,SLC,LAX
1129,2300,2030,CLE,TPA
510,1810,1310,SJU,BWI
3100,1725,1625,ORD,MSN
417,638,115,ATL,PHX
1309,2037,1859,AUS,ATL
4278,1300,1005,MSP,DEN
1714,930,615,ABQ,OAK
4386,1239,1132,ELP,IAH
3465,2212,1945,PDX,ONT
1071,825,655,MSP,MKE
159,1730,1605,MDW,PHL
163,1020,703,SRQ,JFK
2500,1640,1530,RDU,BWI
1824,1544,940,DCA,SLC
290,1730,1610,OKC,HOU
1060,621,2300,TPA,LAX
4216,2056,1846,MEM,EWR
4806,1855,1730,OAK,LAX
5183,1411,1216,ATL,MGM
2403,1409,1110,LGA,MIA
2066,1449,1305,LGA,CLT
2002,33,2310,BUF,JFK
2184,1830,1657,ATL,SDF
1450,2114,1823,BWI,ORD
1053,945,755,SFO,DEN
7401,849,757,SLC,VEL
5494,1053,955,MLI,ATL
3491,1400,1020,MCO,MDW
699,1845,1520,DEN,PDX
76,855,730,LAX,SFO
338,1150,1025,SMF,SNA
337,2155,1855,LAX,FLL
1820,2359,2210,RSW,CLT
1842,1440,1315,PIT,CLT
4918,1232,1145,AGS,ATL
4117,1135,1005,BHM,HOU
1245,1730,945,MCO,LAX
186,2050,1635,MKE,PHX
3957,2200,1855,AUS,PHX
134,2020,1845,MDW,OMA
6125,2100,2000,GRB,ORD
14,1201,2125,EWR,HNL
2006,1050,805,MSY,LGA
250,1220,900,DEN,SNA
3943,1250,1200,DEN,MCI
1338,1620,1420,FLL,RDU
4289,1801,1442,IAH,COS
168,549,125,ORD,PHX
2454,843,515,MIA,BOS
1847,1305,1135,STL,MCO
2087,2110,1925,CLT,DTW
677,1633,1319,DEN,RNO
749,1100,900,ATL,MIA
490,1555,1237,IAH,DEN
3486,1410,1250,RNO,LAS
2544,910,630,DAL,DCA
1953,2215,2056,DSM,ATL
1542,1609,1205,PHL,DFW
2226,1240,1045,DFW,TPA
2315,1644,1425,ORD,DFW
262,1249,925,RSW,DFW
1054,1347,1110,SEA,ORD
1131,1357,620,ATL,SEA
4126,1740,1550,PDX,PHX
961,5,1755,BWI,PHX
893,2115,1935,MDW,MSP
994,1525,1245,RSW,CMH
749,2055,1705,HOU,BOS
1785,1834,1715,MSP,PIT
2157,1823,1700,LGA,BOS
1479,1200,650,STT,EWR
1201,1208,900,LGA,ORD
5411,1030,1016,DEN,HYS
4817,947,840,SJC,SLC
6228,1011,755,BOI,DEN
527,1850,1650,MSY,BWI
908,1620,1450,LAS,SFO
5099,1413,1115,ATL,PIA
222,1655,1045,ORD,SFO
4709,842,727,GPT,IAH
6533,1655,1545,ORD,DCA
3444,1550,1355,BMI,DFW
895,2152,1855,PHL,ORD
